pl_name,hostname,discoverymethod,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_msinij,pl_msinijerr1,pl_msinijerr2,pl_radj,pl_radjerr1,pl_radjerr2,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2
GJ 667 C c,GJ 667 C,Radial Velocity,28.14,0.053,-0.065,0.012,0.005,-0.004,0.012,0.005,-0.004,,,,0.125,0.012,-0.013,0.02,0.15,-0.02
GJ 667 C c,GJ 667 C,Radial Velocity,28.143,0.029,-0.029,,,,,,,,,,0.125,0.004,-0.004,0.133,0.098,-0.098
GJ 667 C c,GJ 667 C,Radial Velocity,28.155,0.017,-0.017,0.0143,0.0012,-0.0012,0.0143,0.0012,-0.0012,,,,0.123,0.02,-0.02,0.27,,
GJ 667 C c,GJ 667 C,Radial Velocity,28.1,0.03,-0.03,0.013,0.002,-0.002,0.013,0.002,-0.002,,,,0.12501,9e-05,-9e-05,0.27,0.1,-0.1
GJ 667 C e,GJ 667 C,Radial Velocity,62.24,0.55,-0.55,0.008,0.005,-0.004,0.008,0.005,-0.004,,,,0.213,0.019,-0.022,0.02,0.22,-0.02
GJ 667 C f,GJ 667 C,Radial Velocity,39.026,0.194,-0.211,0.008,0.004,-0.004,0.008,0.004,-0.004,,,,0.156,0.014,-0.017,0.03,0.16,-0.03
GJ 667 C g,GJ 667 C,Radial Velocity,256.2,13.8,-7.9,0.014,0.008,-0.007,0.014,0.008,-0.007,,,,0.549,0.052,-0.058,0.08,0.41,-0.08
GJ 676 A b,GJ 676 A,Radial Velocity,1056.8,2.8,-2.8,4.9,,,4.9,,,,,,1.82,,,0.326,0.009,-0.009
GJ 676 A b,GJ 676 A,Radial Velocity,1050.3,1.2,-1.2,4.95,0.31,-0.31,4.95,0.31,-0.31,,,,1.8,0.07,-0.07,0.328,0.004,-0.004
GJ 676 A b,GJ 676 A,Radial Velocity,1051.1,0.4,-0.4,6.7,1.8,-1.5,4.733,0.011,-0.01,,,,1.812,0.002,-0.001,0.323,0.002,-0.002
