pl_name,hostname,discoverymethod,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_msinij,pl_msinijerr1,pl_msinijerr2,pl_radj,pl_radjerr1,pl_radjerr2,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2
Kepler-136 b,Kepler-136,Transit,11.579,,,0.062,0.037,-0.033,,,,0.161,0.031,-0.015,,,,,,
Kepler-136 b,Kepler-136,Transit,11.5789114,1.671e-05,-1.671e-05,,,,,,,,,,0.1054,,,0.0,,
Kepler-136 b,Kepler-136,Transit,11.5789114,1.671e-05,-1.671e-05,,,,,,,0.188,0.023,-0.02,,,,,,
Kepler-136 b,Kepler-136,Transit,11.57894,6.6e-05,-6.6e-05,,,,,,,,,,0.107,,,0.0,,
Kepler-136 b,Kepler-136,Transit,11.57887967,3.09e-06,-3.09e-06,,,,,,,,,,,,,,,
Kepler-136 b,Kepler-136,Transit,11.5789,3e-05,-3e-05,,,,,,,0.183,0.034,-0.034,0.106,,,,,
Kepler-136 b,Kepler-136,Transit,11.5789114,1.671e-05,-1.671e-05,,,,,,,,,,0.1054,,,0.0,,
Kepler-136 b,Kepler-136,Transit,11.57890926,1.793e-05,-1.793e-05,,,,,,,,,,0.1062,,,0.0,,
Kepler-136 b,Kepler-136,Transit,11.57890926,1.793e-05,-1.793e-05,,,,,,,,,,,,,,,
Kepler-136 c,Kepler-136,Transit,16.39926461,3.373e-05,-3.373e-05,,,,,,,,,,0.134,,,0.0,,
Kepler-136 c,Kepler-136,Transit,16.399,,,,,,,,,,,,,,,,,
Kepler-136 c,Kepler-136,Transit,16.3992561,2.915e-05,-2.915e-05,,,,,,,,,,0.1329,,,0.0,,
Kepler-136 c,Kepler-136,Transit,16.399235,5.1e-05,-5.1e-05,,,,,,,0.178,0.033,-0.033,0.133,,,,,
Kepler-136 c,Kepler-136,Transit,16.3992561,2.915e-05,-2.915e-05,,,,,,,,,,0.1329,,,0.0,,
Kepler-136 c,Kepler-136,Transit,16.3992561,2.915e-05,-2.915e-05,,,,,,,,,,0.1329,,,0.0,,
Kepler-136 c,Kepler-136,Transit,,,,,,,,,,0.193,0.01,-0.008,,,,,,
Kepler-136 c,Kepler-136,Transit,16.39926602,2.46e-06,-2.46e-06,,,,,,,,,,,,,,,
Kepler-136 c,Kepler-136,Transit,16.3992561,2.915e-05,-2.915e-05,,,,,,,0.176,0.021,-0.014,,,,,,
Kepler-136 c,Kepler-136,Transit,16.39926727,2.142e-05,-2.142e-05,,,,,,,,,,,,,,,
Kepler-136 c,Kepler-136,Transit,16.39922,0.00012,-0.00012,,,,,,,,,,0.134,,,0.0,,
Kepler-136 c,Kepler-136,Transit,16.39926461,3.373e-05,-3.373e-05,,,,,,,,,,,,,,,
Kepler-14 b,Kepler-14,Transit,6.790123,4.3e-06,-4.3e-06,8.4,0.35,-0.34,,,,1.136,0.073,-0.054,,,,0.035,0.02,-0.02
Kepler-14 b,Kepler-14,Transit,6.7901235,3.6e-06,-3.6e-06,,,,,,,,,,0.078,,,0.0,,
Kepler-14 b,Kepler-14,Transit,6.7901216,9.8e-07,-9.8e-07,,,,,,,,,,0.0787,,,0.0,,
Kepler-14 b,Kepler-14,Transit,6.7901208,1.9e-06,-1.9e-06,,,,,,,,,,0.0769,,,0.0,,
Kepler-14 b,Kepler-14,Transit,6.7901216,9.8e-07,-9.8e-07,,,,,,,1.134,0.034,-0.035,,,,,,
Kepler-14 b,Kepler-14,Transit,6.7901211,5.6e-07,-5.6e-07,,,,,,,,,,,,,,,
Kepler-14 b,Kepler-14,Transit,6.7901216,9.8e-07,-9.8e-07,,,,,,,,,,0.0787,,,0.0,,
Kepler-14 b,Kepler-14,Transit,6.7901208,1.9e-06,-1.9e-06,,,,,,,,,,,,,,,
Kepler-14 b,Kepler-14,Transit,6.79012033,1.3e-07,-1.3e-07,,,,,,,,,,,,,,,
Kepler-14 b,Kepler-14,Transit,6.7900918,2.327e-05,-2.327e-05,,,,,,,0.862,0.066,-0.066,,,,,,
Kepler-14 b,Kepler-14,Transit,6.790123,4.3e-06,-4.3e-06,7.68,0.39,-0.39,,,,1.126,0.05,-0.05,0.0771,0.0012,-0.0012,,,
Kepler-14 b,Kepler-14,Transit,6.7901216,9.8e-07,-9.8e-07,,,,,,,,,,0.0787,,,0.0,,
Kepler-1480 b,Kepler-1480,Transit,22.1270885,0.0002566,-0.0002566,,,,,,,,,,,,,,,
Kepler-1480 b,Kepler-1480,Transit,22.12672854,6.249e-05,-6.249e-05,,,,,,,,,,,,,,,
Kepler-1480 b,Kepler-1480,Transit,22.12679948,9.372e-05,-9.372e-05,,,,,,,,,,0.1525,,,0.0,,
Kepler-1480 b,Kepler-1480,Transit,,,,,,,,,,0.177,0.014,-0.054,,,,,,
Kepler-1480 b,Kepler-1480,Transit,22.12679948,9.372e-05,-9.372e-05,,,,,,,,,,0.1525,,,0.0,,
Kepler-1480 b,Kepler-1480,Transit,22.12679948,9.372e-05,-9.372e-05,,,,,,,0.149,0.01,-0.007,,,,,,
Kepler-1480 b,Kepler-1480,Transit,22.1270885,0.0002566,-0.0002566,,,,,,,,,,0.1525,,,0.0,,
Kepler-1480 b,Kepler-1480,Transit,22.12679948,9.372e-05,-9.372e-05,,,,,,,,,,0.1525,,,0.0,,
Kepler-1480 b,Kepler-1480,Transit,22.12679138,4.7e-06,-4.7e-06,,,,,,,,,,,,,,,
Kepler-1540 b,Kepler-1540,Transit,125.4131177,0.0004189,-0.0004189,,,,,,,0.222,0.017,-0.012,,,,,,
Kepler-1540 b,Kepler-1540,Transit,125.4131177,0.0004189,-0.0004189,,,,,,,,,,0.4198,,,0.0,,
Kepler-1540 b,Kepler-1540,Transit,125.4132302,0.0003895,-0.0003895,,,,,,,,,,,,,,,
Kepler-1540 b,Kepler-1540,Transit,125.4132812,4.48e-06,-4.48e-06,,,,,,,,,,,,,,,
Kepler-1540 b,Kepler-1540,Transit,,,,,,,,,,0.238,0.03,-0.036,,,,,,
Kepler-1540 b,Kepler-1540,Transit,125.4131177,0.0004189,-0.0004189,,,,,,,,,,0.4198,,,0.0,,
Kepler-1540 b,Kepler-1540,Transit,125.4132302,0.0003895,-0.0003895,,,,,,,,,,0.4426,,,0.0,,
Kepler-1540 b,Kepler-1540,Transit,125.4131177,0.0004189,-0.0004189,,,,,,,,,,0.4198,,,0.0,,
Kepler-16 b,Kepler-16,Transit,228.776,0.02,-0.037,0.333,0.016,-0.016,,,,0.754,0.003,-0.003,0.7048,0.0011,-0.0011,0.0069,0.001,-0.0015
Kepler-1647 b,Kepler-1647,Transit,1107.5923,0.0227,-0.0227,1.51968,0.64815,-0.64815,,,,1.059,0.012,-0.012,2.7205,0.007,-0.007,0.0581,0.0689,-0.0689
Kepler-1651 b,Kepler-1651,Transit,9.8786461,1.742e-05,-1.742e-05,,,,,,,,,,0.0692,,,0.0,,
Kepler-1651 b,Kepler-1651,Transit,9.8851553,0.0006741,-0.0006741,,,,,,,,,,0.0619,,,0.0,,
Kepler-1651 b,Kepler-1651,Transit,9.87863917,1.067e-05,-1.01e-05,,,,,,,0.164,0.01,-0.01,,,,0.13,0.06,-0.03
Kepler-1651 b,Kepler-1651,Transit,9.8847,0.0023,-0.0023,,,,,,,,,,0.054,,,0.0,,
Kepler-1651 b,Kepler-1651,Transit,9.8851553,0.0006741,-0.0006741,,,,,,,,,,0.0619,,,0.0,,
Kepler-1651 b,Kepler-1651,Transit,9.8851553,0.0006741,-0.0006741,,,,,,,,,,0.0619,,,0.0,,
Kepler-1651 b,Kepler-1651,Transit,9.8786461,1.742e-05,-1.742e-05,,,,,,,,,,,,,,,
Kepler-1661 b,Kepler-1661,Transit,175.06,0.06,-0.06,0.05349,0.03776,-0.03776,,,,0.345,0.005,-0.005,0.633,0.005,-0.005,0.057,0.005,-0.005
Kepler-167 b,Kepler-167,Transit,4.3931632,4.6e-06,-4.5e-06,,,,,,,0.144,0.004,-0.004,0.0483,0.0017,-0.0025,0.0,,
Kepler-167 b,Kepler-167,Transit,4.3931539,4.8e-06,-4.6e-06,,,,,,,0.153,0.006,-0.006,0.04825,0.0007,-0.0007,0.0,,
Kepler-167 b,Kepler-167,Transit,4.39315652,5.73e-06,-5.73e-06,,,,,,,,,,0.0482,,,0.0,,
Kepler-167 b,Kepler-167,Transit,4.39315652,5.73e-06,-5.73e-06,,,,,,,0.136,0.005,-0.004,,,,,,
Kepler-167 b,Kepler-167,Transit,4.39316278,5.42e-06,-5.42e-06,,,,,,,,,,,,,,,
Kepler-167 b,Kepler-167,Transit,4.393147,2.2e-05,-2.2e-05,,,,,,,,,,0.047,,,0.0,,
Kepler-167 b,Kepler-167,Transit,4.39315768,5.49e-06,-5.49e-06,,,,,,,,,,,,,,,
Kepler-167 b,Kepler-167,Transit,4.39315983,1.79e-06,-1.79e-06,,,,,,,,,,,,,,,
Kepler-167 b,Kepler-167,Transit,4.39315652,5.73e-06,-5.73e-06,,,,,,,,,,0.0482,,,0.0,,
Kepler-167 b,Kepler-167,Transit,4.393147,1e-05,-1e-05,,,,,,,0.129,0.008,-0.008,0.048,,,,,
Kepler-167 b,Kepler-167,Transit,4.39315652,5.73e-06,-5.73e-06,,,,,,,,,,0.0482,,,0.0,,
Kepler-167 b,Kepler-167,Transit,4.39315768,5.49e-06,-5.49e-06,,,,,,,,,,0.0477,,,0.0,,
Kepler-167 b,Kepler-167,Transit,,,,,,,,,,0.136,0.008,-0.006,,,,,,
Kepler-167 c,Kepler-167,Transit,7.40610775,1.527e-05,-1.527e-05,,,,,,,,,,0.0683,,,0.0,,
Kepler-167 c,Kepler-167,Transit,7.40610257,1.403e-05,-1.403e-05,,,,,,,,,,,,,,,
Kepler-167 c,Kepler-167,Transit,7.40611676,1.392e-05,-1.392e-05,,,,,,,,,,0.0675,,,0.0,,
Kepler-167 c,Kepler-167,Transit,,,,,,,,,,0.131,0.008,-0.006,,,,,,
Kepler-167 c,Kepler-167,Transit,7.406097,2.6e-05,-2.6e-05,,,,,,,0.122,0.007,-0.007,0.068,,,,,
Kepler-167 c,Kepler-167,Transit,7.406114,1.2e-05,-1.1e-05,,,,,,,0.138,0.004,-0.004,0.0684,0.024,-0.0035,0.0,,
Kepler-167 c,Kepler-167,Transit,7.406106,1e-05,-1e-05,,,,,,,0.149,0.006,-0.006,0.0684,0.001,-0.001,0.0,,
Kepler-167 c,Kepler-167,Transit,7.40611676,1.392e-05,-1.392e-05,,,,,,,,,,,,,,,
Kepler-167 c,Kepler-167,Transit,7.40610775,1.527e-05,-1.527e-05,,,,,,,,,,0.0683,,,0.0,,
Kepler-167 c,Kepler-167,Transit,7.40610775,1.527e-05,-1.527e-05,,,,,,,,,,0.0683,,,0.0,,
Kepler-167 c,Kepler-167,Transit,7.406105,5.3e-05,-5.3e-05,,,,,,,,,,0.066,,,0.0,,
Kepler-167 c,Kepler-167,Transit,7.40610054,2.66e-06,-2.66e-06,,,,,,,,,,,,,,,
Kepler-167 c,Kepler-167,Transit,7.40610775,1.527e-05,-1.527e-05,,,,,,,0.144,0.013,-0.011,,,,,,
Kepler-167 d,Kepler-167,Transit,21.8038763,0.0001268,-0.0001268,,,,,,,,,,0.1402,,,0.0,,
Kepler-167 d,Kepler-167,Transit,21.8038763,0.0001268,-0.0001268,,,,,,,,,,0.1402,,,0.0,,
Kepler-167 d,Kepler-167,Transit,21.803708,0.0001361,-0.0001361,,,,,,,,,,,,,,,
Kepler-167 d,Kepler-167,Transit,21.80379,0.00013,-0.00018,,,,,,,0.11,0.006,-0.006,0.1404,0.002,-0.002,0.0,,
Kepler-167 d,Kepler-167,Transit,21.8038763,0.0001268,-0.0001268,,,,,,,0.115,0.032,-0.011,,,,,,
Kepler-167 d,Kepler-167,Transit,21.80410231,8.84e-06,-8.84e-06,,,,,,,,,,,,,,,
Kepler-167 d,Kepler-167,Transit,21.803708,0.0001361,-0.0001361,,,,,,,,,,0.1387,,,0.0,,
Kepler-167 d,Kepler-167,Transit,21.80353249,0.00014261,-0.00014261,,,,,,,,,,,,,,,
Kepler-167 d,Kepler-167,Transit,21.8038763,0.0001268,-0.0001268,,,,,,,,,,0.1402,,,0.0,,
Kepler-167 d,Kepler-167,Transit,21.803855,7.8e-05,-0.000119,,,,,,,0.107,0.004,-0.004,0.1405,0.005,-0.0071,0.12,,
Kepler-167 d,Kepler-167,Transit,,,,,,,,,,0.106,0.03,-0.007,,,,,,
Kepler-167 d,Kepler-167,Transit,21.80428,0.00043,-0.00043,,,,,,,,,,0.137,,,0.0,,
Kepler-167 e,Kepler-167,Transit,1071.232624,0.0006435,-0.0006435,,,,,,,,,,,,,,,
Kepler-167 e,Kepler-167,Transit,1071.23205,0.00059,-0.00058,1.01,0.16,-0.15,,,,0.906,0.037,-0.037,1.883,0.027,-0.027,0.29,,
Kepler-167 e,Kepler-167,Transit,,,,,,,,,,0.888,0.038,-0.036,,,,,,
Kepler-167 e,Kepler-167,Transit,1071.23308,0.00059,-0.0006,,,,,,,,,,,,,,,
Kepler-167 e,Kepler-167,Transit,1071.231935,0.0006706,-0.0006706,,,,,,,,,,1.881,,,0.0,,
Kepler-167 e,Kepler-167,Transit,341.0,15.0,-15.0,,,,,,,,,,0.854,,,0.0,,
Kepler-167 e,Kepler-167,Transit,1071.232624,0.0006435,-0.0006435,,,,,,,,,,1.86,,,0.0,,
Kepler-167 e,Kepler-167,Transit,1071.231935,0.0006706,-0.0006706,,,,,,,,,,1.881,,,0.0,,
Kepler-167 e,Kepler-167,Transit,1071.23228,0.00056,-0.00056,,,,,,,0.906,0.021,-0.021,1.89,0.058,-0.067,0.062,0.104,-0.043
Kepler-197 b,Kepler-197,Transit,5.59934848,3.93e-06,-3.93e-06,,,,,,,,,,,,,,,
Kepler-197 b,Kepler-197,Transit,5.59931973,1.293e-05,-1.293e-05,,,,,,,,,,0.0601,,,0.0,,
Kepler-197 b,Kepler-197,Transit,5.59931973,1.293e-05,-1.293e-05,,,,,,,,,,0.0601,,,0.0,,
Kepler-197 b,Kepler-197,Transit,5.59931973,1.293e-05,-1.293e-05,,,,,,,,,,0.0601,,,0.0,,
Kepler-197 b,Kepler-197,Transit,5.59931973,1.293e-05,-1.293e-05,,,,,,,0.103,0.004,-0.004,,,,,,
Kepler-197 b,Kepler-197,Transit,5.59935,3.3e-05,-3.3e-05,,,,,,,,,,0.059,,,0.0,,
Kepler-197 b,Kepler-197,Transit,,,,,,,,,,0.115,0.005,-0.018,,,,,,
Kepler-197 b,Kepler-197,Transit,5.599308,2.3e-05,-2.3e-05,,,,,,,0.091,0.004,-0.004,0.06,,,,,
Kepler-197 b,Kepler-197,Transit,5.59931543,1.424e-05,-1.424e-05,,,,,,,,,,0.0596,,,0.0,,
Kepler-197 b,Kepler-197,Transit,5.59931543,1.424e-05,-1.424e-05,,,,,,,,,,,,,,,
Kepler-197 b,Kepler-197,Transit,5.599293,3.9e-05,-3.9e-05,,,,,,,0.095,0.003,-0.003,,,,0.02,0.23,-0.02
Kepler-197 c,Kepler-197,Transit,10.34974585,2.554e-05,-2.554e-05,,,,,,,,,,,,,,,
Kepler-197 c,Kepler-197,Transit,10.34973276,2.951e-05,-2.951e-05,,,,,,,,,,0.0898,,,0.0,,
Kepler-197 c,Kepler-197,Transit,10.34971385,2.991e-05,-2.991e-05,,,,,,,,,,0.0905,,,0.0,,
Kepler-197 c,Kepler-197,Transit,10.34971385,2.991e-05,-2.991e-05,,,,,,,,,,0.0905,,,0.0,,
Kepler-197 c,Kepler-197,Transit,10.34971385,2.991e-05,-2.991e-05,,,,,,,0.114,0.004,-0.004,,,,,,
Kepler-197 c,Kepler-197,Transit,10.34971385,2.991e-05,-2.991e-05,,,,,,,,,,0.0905,,,0.0,,
Kepler-197 c,Kepler-197,Transit,10.349711,5.4e-05,-5.4e-05,,,,,,,0.108,0.004,-0.004,,,,0.08,0.21,-0.08
Kepler-197 c,Kepler-197,Transit,10.34973276,2.951e-05,-2.951e-05,,,,,,,,,,,,,,,
Kepler-197 c,Kepler-197,Transit,10.35,,,0.017,0.01,-0.009,,,,0.11,0.004,-0.004,,,,,,
Kepler-197 c,Kepler-197,Transit,10.349678,6e-05,-6e-05,,,,,,,,,,0.089,,,0.0,,
Kepler-197 c,Kepler-197,Transit,10.349695,4.5e-05,-4.5e-05,,,,,,,0.11,0.004,-0.004,0.09,,,,,
Kepler-197 c,Kepler-197,Transit,,,,,,,,,,0.135,0.006,-0.021,,,,,,
Kepler-197 c,Kepler-197,Transit,10.34976692,3.36e-06,-3.36e-06,,,,,,,,,,,,,,,
Kepler-197 d,Kepler-197,Transit,15.6775466,4.82e-05,-4.82e-05,,,,,,,,,,,,,,,
Kepler-197 d,Kepler-197,Transit,15.67756112,6.216e-05,-6.216e-05,,,,,,,,,,0.1194,,,0.0,,
Kepler-197 d,Kepler-197,Transit,,,,,,,,,,0.134,0.012,-0.02,,,,,,
Kepler-197 d,Kepler-197,Transit,15.677563,9.6e-05,-9.6e-05,,,,,,,0.109,0.009,-0.009,0.119,,,,,
Kepler-197 d,Kepler-197,Transit,15.67787,0.00013,-0.00013,,,,,,,0.111,0.004,-0.004,,,,0.03,0.2,-0.03
Kepler-197 d,Kepler-197,Transit,15.67757,0.00011,-0.00011,,,,,,,,,,0.117,,,0.0,,
Kepler-197 d,Kepler-197,Transit,15.67770919,4.52e-06,-4.52e-06,,,,,,,,,,,,,,,
Kepler-197 d,Kepler-197,Transit,15.67756112,6.216e-05,-6.216e-05,,,,,,,,,,0.1194,,,0.0,,
Kepler-197 d,Kepler-197,Transit,15.67750191,5.785e-05,-5.785e-05,,,,,,,,,,0.1185,,,0.0,,
Kepler-197 d,Kepler-197,Transit,15.67756112,6.216e-05,-6.216e-05,,,,,,,0.103,0.004,-0.004,,,,,,
Kepler-197 d,Kepler-197,Transit,15.67750191,5.785e-05,-5.785e-05,,,,,,,,,,,,,,,
Kepler-197 d,Kepler-197,Transit,15.67756112,6.216e-05,-6.216e-05,,,,,,,,,,0.1194,,,0.0,,
Kepler-197 d,Kepler-197,Transit,15.677,,,,,,,,,,,,,,,,,
Kepler-197 e,Kepler-197,Transit,25.21031419,0.00015921,-0.00015921,,,,,,,,,,,,,,,
Kepler-197 e,Kepler-197,Transit,25.21086086,2.708e-05,-2.708e-05,,,,,,,,,,,,,,,
Kepler-197 e,Kepler-197,Transit,25.20971,0.00035,-0.00035,,,,,,,,,,0.16,,,0.0,,
Kepler-197 e,Kepler-197,Transit,25.2097,0.0014,-0.0014,,,,,,,0.088,0.004,-0.004,,,,0.38,0.25,-0.17
Kepler-197 e,Kepler-197,Transit,25.209715,0.000387,-0.000387,,,,,,,0.081,0.004,-0.004,0.164,,,,,
Kepler-197 e,Kepler-197,Transit,25.2100146,0.0002037,-0.0002037,,,,,,,,,,,,,,,
Kepler-197 e,Kepler-197,Transit,25.2099845,0.0002362,-0.0002362,,,,,,,,,,0.1638,,,0.0,,
Kepler-197 e,Kepler-197,Transit,25.2099845,0.0002362,-0.0002362,,,,,,,,,,0.1638,,,0.0,,
Kepler-197 e,Kepler-197,Transit,25.2099845,0.0002362,-0.0002362,,,,,,,0.08,0.016,-0.004,,,,,,
Kepler-197 e,Kepler-197,Transit,25.2099845,0.0002362,-0.0002362,,,,,,,,,,0.1638,,,0.0,,
Kepler-197 e,Kepler-197,Transit,,,,,,,,,,0.09,0.023,-0.009,,,,,,
Kepler-197 e,Kepler-197,Transit,25.2100146,0.0002037,-0.0002037,,,,,,,,,,0.1626,,,0.0,,
Kepler-20 b,Kepler-20,Transit,3.6961159,4.4e-06,-4.4e-06,,,,,,,,,,0.045,,,0.0,,
Kepler-20 b,Kepler-20,Transit,3.69611967,2.31e-06,-2.31e-06,,,,,,,,,,0.0448,,,0.0,,
Kepler-20 b,Kepler-20,Transit,3.69612127,2.39e-06,-2.39e-06,,,,,,,,,,,,,,,
Kepler-20 b,Kepler-20,Transit,3.69610487,1.56e-06,-1.56e-06,,,,,,,,,,,,,,,
Kepler-20 b,Kepler-20,Transit,3.69611967,2.31e-06,-2.31e-06,,,,,,,,,,0.0448,,,0.0,,
Kepler-20 b,Kepler-20,Transit,3.69611967,2.31e-06,-2.31e-06,,,,,,,0.19,0.02,-0.023,,,,,,
Kepler-20 b,Kepler-20,Transit,3.69611967,2.31e-06,-2.31e-06,,,,,,,,,,0.0448,,,0.0,,
Kepler-20 b,Kepler-20,Transit,3.6961219,4.3e-06,-6.4e-06,0.027,0.007,-0.007,,,,0.17,0.011,-0.019,0.04537,0.00054,-0.0006,0.32,,
Kepler-20 b,Kepler-20,Transit,3.69612127,2.39e-06,-2.39e-06,,,,,,,,,,0.0448,,,0.0,,
Kepler-20 b,Kepler-20,Transit,3.69611757,6.6e-07,-6.6e-07,,,,,,,,,,,,,,,
Kepler-20 b,Kepler-20,Transit,,,,,,,,,,0.152,0.007,-0.006,,,,,,
Kepler-20 b,Kepler-20,Transit,3.69611525,1.15e-06,-8.7e-07,0.03052,0.00444,-0.00453,,,,0.167,0.006,-0.003,0.0463,0.0009,-0.0015,0.03,0.09,-0.03
Kepler-20 c,Kepler-20,Transit,10.8540894,8.4e-06,-8.4e-06,,,,,,,,,,0.093,,,0.0,,
Kepler-20 c,Kepler-20,Transit,10.85409593,4.98e-06,-4.98e-06,,,,,,,,,,,,,,,
Kepler-20 c,Kepler-20,Transit,10.85407744,2.09e-06,-2.09e-06,,,,,,,,,,,,,,,
Kepler-20 c,Kepler-20,Transit,10.85409783,4.4e-06,-4.4e-06,,,,,,,0.271,0.026,-0.015,,,,,,
Kepler-20 c,Kepler-20,Transit,10.85409783,4.4e-06,-4.4e-06,,,,,,,,,,0.0919,,,0.0,,
Kepler-20 c,Kepler-20,Transit,10.8541002,5.1e-07,-5.1e-07,,,,,,,,,,,,,,,
Kepler-20 c,Kepler-20,Transit,10.85409593,4.98e-06,-4.98e-06,,,,,,,,,,0.0919,,,0.0,,
Kepler-20 c,Kepler-20,Transit,10.85409089,3.03e-06,-2.6e-06,0.04012,0.00683,-0.00705,,,,0.272,0.006,-0.005,0.0949,0.0027,-0.0023,0.16,0.01,-0.09
Kepler-20 c,Kepler-20,Transit,,,,,,,,,,0.256,0.017,-0.011,,,,,,
Kepler-20 c,Kepler-20,Transit,10.85409783,4.4e-06,-4.4e-06,,,,,,,,,,0.0919,,,0.0,,
Kepler-20 c,Kepler-20,Transit,10.854092,1.3e-05,-1.3e-05,0.051,0.01,-0.012,,,,0.274,0.018,-0.028,0.093,0.0011,-0.0011,0.4,,
Kepler-20 c,Kepler-20,Transit,10.85409783,4.4e-06,-4.4e-06,,,,,,,,,,0.0919,,,0.0,,
Kepler-20 d,Kepler-20,Transit,77.61154162,2.91e-06,-2.91e-06,,,,,,,,,,,,,,,
Kepler-20 d,Kepler-20,Transit,,,,,,,,,,0.222,0.011,-0.009,,,,,,
Kepler-20 d,Kepler-20,Transit,77.6114427,0.0001536,-0.0001536,,,,,,,,,,,,,,,
Kepler-20 d,Kepler-20,Transit,77.61184,0.00015,-0.00037,0.063,,,,,,0.245,0.015,-0.027,0.3453,0.0041,-0.0046,0.6,,
Kepler-20 d,Kepler-20,Transit,77.6115987,0.0001357,-0.0001357,,,,,,,,,,0.3411,,,0.0,,
Kepler-20 d,Kepler-20,Transit,77.6115987,0.0001357,-0.0001357,,,,,,,,,,0.3411,,,0.0,,
Kepler-20 d,Kepler-20,Transit,77.6115987,0.0001357,-0.0001357,,,,,,,,,,0.3411,,,0.0,,
Kepler-20 d,Kepler-20,Transit,77.61145505,9.586e-05,-9.586e-05,,,,,,,,,,,,,,,
Kepler-20 d,Kepler-20,Transit,77.6114427,0.0001536,-0.0001536,,,,,,,,,,0.3411,,,0.0,,
Kepler-20 d,Kepler-20,Transit,77.61130017,0.00012305,-0.00011588,0.03168,0.01249,-0.01164,,,,0.245,0.007,-0.005,0.3506,0.0081,-0.0101,,,
Kepler-20 d,Kepler-20,Transit,77.61153,0.00023,-0.00023,,,,,,,,,,0.344,,,0.0,,
Kepler-20 d,Kepler-20,Transit,77.6115987,0.0001357,-0.0001357,,,,,,,0.235,0.019,-0.013,,,,,,
Kepler-20 e,Kepler-20,Transit,6.09848823,9.85e-06,-9.85e-06,,,,,,,,,,,,,,,
Kepler-20 e,Kepler-20,Transit,6.098493,6.5e-05,-6.5e-05,0.01,,,,,,0.077,0.007,-0.009,,,,0.28,,
Kepler-20 e,Kepler-20,Transit,6.09855603,2.536e-05,-2.536e-05,,,,,,,,,,,,,,,
Kepler-20 e,Kepler-20,Transit,6.09853672,2.838e-05,-2.838e-05,,,,,,,,,,0.0626,,,0.0,,
Kepler-20 e,Kepler-20,Transit,6.09853672,2.838e-05,-2.838e-05,,,,,,,0.072,0.017,-0.005,,,,,,
Kepler-20 e,Kepler-20,Transit,6.09855603,2.536e-05,-2.536e-05,,,,,,,,,,0.0626,,,0.0,,
Kepler-20 e,Kepler-20,Transit,,,,,,,,,,0.072,0.004,-0.003,,,,,,
Kepler-20 e,Kepler-20,Transit,6.09853672,2.838e-05,-2.838e-05,,,,,,,,,,0.0626,,,0.0,,
Kepler-20 e,Kepler-20,Transit,6.09852281,6.08e-06,-1.351e-05,,,,,,,0.077,0.002,-0.002,0.0639,0.0019,-0.0014,,,
Kepler-20 e,Kepler-20,Transit,6.098496,4.4e-05,-4.4e-05,,,,,,,,,,0.063,,,0.0,,
Kepler-20 e,Kepler-20,Transit,6.09853672,2.838e-05,-2.838e-05,,,,,,,,,,0.0626,,,0.0,,
Kepler-20 f,Kepler-20,Transit,,,,,,,,,,0.077,0.005,-0.004,,,,,,
Kepler-20 f,Kepler-20,Transit,19.5776073,0.0001427,-0.0001427,,,,,,,,,,,,,,,
Kepler-20 f,Kepler-20,Transit,19.5776286,0.000124,-0.000124,,,,,,,,,,0.1362,,,0.0,,
Kepler-20 f,Kepler-20,Transit,19.57709,0.0002,-0.0002,,,,,,,,,,0.137,,,0.0,,
Kepler-20 f,Kepler-20,Transit,19.5776073,0.0001427,-0.0001427,,,,,,,,,,0.1362,,,0.0,,
Kepler-20 f,Kepler-20,Transit,19.5776286,0.000124,-0.000124,,,,,,,0.091,0.008,-0.006,,,,,,
Kepler-20 f,Kepler-20,Transit,19.57832769,4.757e-05,-4.757e-05,,,,,,,,,,,,,,,
Kepler-20 f,Kepler-20,Transit,19.57706,0.00052,-0.00052,0.045,,,,,,0.092,0.009,-0.012,,,,0.32,,
Kepler-20 f,Kepler-20,Transit,19.57758478,9.037e-05,-0.00012256,,,,,,,0.089,0.004,-0.008,0.1396,0.0036,-0.0035,,,
Kepler-20 f,Kepler-20,Transit,19.5776286,0.000124,-0.000124,,,,,,,,,,0.1362,,,0.0,,
Kepler-20 f,Kepler-20,Transit,19.5776286,0.000124,-0.000124,,,,,,,,,,0.1362,,,0.0,,
Kepler-20 f,Kepler-20,Transit,19.57778827,1.165e-05,-1.165e-05,,,,,,,,,,,,,,,
Kepler-20 g,Kepler-20,Radial Velocity,34.94,0.038,-0.035,0.0628,0.00969,-0.01136,0.0628,0.00969,-0.01136,,,,0.2055,0.0022,-0.0021,0.15,0.01,-0.1
Kepler-21 b,Kepler-21,Transit,2.78582169,3.78e-06,-3.78e-06,,,,,,,,,,0.0427,,,0.0,,
Kepler-21 b,Kepler-21,Transit,2.785755,3.1e-05,-3.4e-05,0.033,,,,,,0.146,0.003,-0.004,0.042507,9.8e-05,-0.000119,0.0,,
Kepler-21 b,Kepler-21,Transit,2.78582169,3.78e-06,-3.78e-06,,,,,,,,,,0.0427,,,0.0,,
Kepler-21 b,Kepler-21,Transit,2.78581504,1.66e-06,-1.66e-06,,,,,,,,,,,,,,,
