System,Type,Type_ref,Gaia_ID,ra,ra_error,dec,dec_error,parallax,parallax_error,distance_gspphot,distance_gspphot_upper,distance_gspphot_lower,pmra,pmra_error,pmdec,pmdec_error,pm,radial_velocity,radial_velocity_error
HAT-P-39,,,Gaia DR3 3169391577586325120,113.75825280460009,0.012798736,17.830027131240563,0.0112769855,1.415197155064673,0.014015782,--,--,--,1.1413214759707815,0.016716972,-8.584019491664908,0.015817307,8.659561,29.15279,3.376495
HAT-P-4,F,2011A&A...529A.136E,Gaia DR3 1291120362349158016,229.99121630812084,0.009744847,36.22954166640547,0.013425917,3.107097977174906,0.015360015,314.5281,317.3546,297.1596,-21.51330482861881,0.012793139,-24.254997898948787,0.018960478,32.421093,-1.1309037,0.36955643
HAT-P-41,,,Gaia DR3 4290415081653653632,297.3226518677282,0.015481577,4.6724113757546615,0.012521415,2.8476906499747314,0.01759626,348.1303,352.0814,342.2152,-3.1772368705569387,0.018924505,-6.569841791504391,0.015301142,7.2977843,32.53817,0.4711851
HAT-P-57,,,Gaia DR3 4483640815570090368,274.74341742799845,0.018658642,10.59719480087956,0.01967393,3.4323579959618478,0.019623086,292.973,297.7037,279.9677,-4.465676998786442,0.02456937,-14.267589335644072,0.024576232,14.9501295,-7.8001404,4.0891476
HAT-P-67,F5,,Gaia DR3 1358614983131339392,256.6107298128953,0.008663342,44.77688234995167,0.009823918,2.6869319873267354,0.01009964,368.2143,374.0003,365.1296,9.541390644446023,0.011205032,-18.25073647300053,0.012623115,20.594357,-1.6711453,0.60960907
HAT-P-7,F6V,2013MNRAS.433.2097F,Gaia DR3 2129256395211984000,292.24718620018575,0.01015957,47.96954406410182,0.010569662,2.9990652107930993,0.0113640325,--,--,--,-18.324874975262798,0.014262368,8.851426007842502,0.013935658,20.350645,-10.227906,0.25424847
HAT-P-8,F8V,2013MNRAS.428..182B,Gaia DR3 1891507552826485632,343.04150590196963,0.014803225,35.44717987044449,0.015819734,4.660607775362594,0.020797191,213.1909,214.093,212.2794,74.67645497324881,0.019426998,14.944294240193413,0.02006703,76.157104,-22.041786,0.22362284
HATS-30,,,Gaia DR3 4906145613282734208,5.6185189760124015,0.008055846,-59.94258995385615,0.008093067,2.9122785617896505,0.011044969,337.4406,338.7081,336.1865,-22.339721294551236,0.009884785,-5.0388983144385415,0.01123413,22.900953,0.21361746,0.7498505
HATS-37,,,Gaia DR3 6194574671813047424,199.80182671118433,0.047539182,-22.986842192875137,0.037804656,4.760576543440536,0.059434265,200.2924,202.8646,195.0496,-21.89510362186544,0.060162865,6.314193762385593,0.03974823,22.787378,6.9404926,0.51235306
HATS-48,,,Gaia DR3 6638412919991750912,288.6720056572256,0.012646141,-59.579349639309946,0.013732165,3.6847339909111643,0.018612556,271.2924,273.9671,269.5404,3.1719092655271885,0.01615301,6.152906999299605,0.013354852,6.9223747,-20.335001,1.8658215
HATS-58,,,,,,,,,,,,,,,,,,,
HATS-65,,,Gaia DR3 6766134630213144704,292.9397819391331,0.012390223,-26.740202154796933,0.0122502735,2.018578844030722,0.014178132,490.5103,493.9589,487.3315,-3.393776781768811,0.014055742,-0.2297664161390752,0.012485632,3.4015458,-14.929991,2.5985925
HATS-74,,,Gaia DR3 3545653561942122368,171.01478632538124,0.03320715,-19.55695334892451,0.026346665,3.424782522452036,0.04191937,--,--,--,-38.99226220119565,0.042772967,39.578321958412936,0.034395494,55.559338,--,--
HD 100655,G9III,,Gaia DR3 3979226627820659072,173.7653542527054,0.021162935,20.44154083939436,0.026440343,7.234507790980947,0.029444145,--,--,--,-59.89736060515357,0.02586394,-0.9961712274862169,0.025190866,59.905643,-5.161237,0.13228858
HD 101930,K2V+,2006AJ....132..161G,Gaia DR3 5341787994441794176,175.87561232564434,0.01274169,-58.00533129753904,0.014598976,33.381404184344994,0.017959077,--,--,--,16.67999946967957,0.017503545,349.1253791433192,0.018964421,349.52362,18.185888,0.12344411
HD 102365,G2V,2006AJ....132..161G,Gaia DR3 5381537023379295232,176.62052057636615,0.05680687,-40.498565145629904,0.05863287,107.30243385622761,0.08731465,9.3339,9.4436,9.3129,-1530.9705104799332,0.06000649,403.2865748639044,0.07325505,1583.1964,16.94267,0.118458375
HD 102956,K0III,,Gaia DR3 845335158256083584,177.843695737286,0.012671911,57.6406559991897,0.013000028,8.169064992326973,0.01805351,119.667,120.9343,117.7089,-12.0023715154493,0.015942464,-17.53002727950492,0.016797002,21.245207,-26.043434,0.11705196
HD 103774,F6V,1999MSS...C05....0H,Gaia DR3 3574907305749250432,179.23105516316,0.018155644,-12.107997861292453,0.015579281,17.798751486871105,0.027288398,56.0292,56.1297,55.9484,-125.07686563174136,0.022827435,-19.949881493988475,0.017346183,126.65788,-2.9305987,0.121135
HD 106515,K0-V,2003AJ....126.2048G,,,,,,,,,,,,,,,,,
HD 107148,G5V,1999MSS...C05....0H,Gaia DR3 3693358861640279296,184.8059696696248,0.021029318,-3.319999243834999,0.016354265,20.248010443598883,0.028255887,49.2507,49.3209,49.178,-54.5647665011179,0.03376359,-47.37599601607373,0.022828955,72.26202,25.231924,0.12873532
HD 108341,K2V,1975MSS...C01....0H,Gaia DR3 5842782219960409728,186.8791195923646,0.010406542,-71.42247366728131,0.010556224,20.430068004438397,0.012568741,48.8996,48.9312,48.8682,-120.9150670691934,0.012826811,114.24025903400478,0.015489675,166.3469,56.696373,0.15518796
HD 109749,G3V,1982PASP...94..304L,Gaia DR3 6147000074988843264,189.31732002702302,0.019780558,-40.8121466377554,0.017306373,15.813421018348189,0.026280481,63.1029,63.239,62.9648,-157.30751157653467,0.021834414,-6.357479268619768,0.020224959,157.43593,-13.124438,0.132685
HD 110082,F6/7V,1975MSS...C01....0H,Gaia DR3 5765748511163751936,192.58920541960728,0.010295281,-88.12111317577158,0.011434684,9.511219449504967,0.011999784,104.9605,105.0873,104.8265,-18.740414588154373,0.012641294,-17.89609346220384,0.015597742,25.912802,2.9267962,0.3768603
HD 113996,K5-III,1989ApJS...71..245K,Gaia DR3 1460876573902483328,196.79487934028714,0.08008067,27.624428561334327,0.08557845,8.598944925099353,0.13266973,122.0043,122.6318,121.5383,34.154936776738055,0.12514876,-69.5386365939737,0.18109833,77.47375,-15.890281,0.12694353
HD 114729,G0V,2006AJ....132..161G,Gaia DR3 6180035765135232128,198.1833669803679,0.015379673,-31.874718355648408,0.014238618,26.337769570726532,0.01871934,37.9106,37.9411,37.8742,-199.92742811816362,0.019895801,-308.12995868240034,0.016520394,367.30783,64.94375,0.124783345
HD 114762,F9VgF8mF4+M6?V,2013yCat....1.2023S,Gaia DR3 3937211745905473024,198.07954666800669,0.077853836,17.517124275902454,0.066571645,26.197851672160045,0.10816515,38.4357,38.6063,38.2739,-580.9987482853835,0.12597264,1.0620509867046164,0.14199933,580.9997,49.63159,0.17909902
